TABLE	bulls1K_id
animal_id	bull1K_id
BOV-WUR-16	HOLNLDM000140915217
BOV-WUR-17	HOLNLDM000170266664
BOV-WUR-18	HOLNLDM000175038880
BOV-WUR-19	HOLNLDM000780180664
BOV-WUR-20	HOLNLDM000181652836
BOV-WUR-21	HOLNLDM000274048414
BOV-WUR-22	HOLNLDM000255696333
BOV-WUR-23	HOLNLDM000265079272
BOV-WUR-24	HOLNLDM000970127440
BOV-WUR-25	HOLNLDM000292560006
BOV-WUR-26	HOLNLDM000289422731
BOV-WUR-27	HOLNLDM000270019098
BOV-WUR-28	HOLNLDM000970127433
BOV-WUR-29	HOLNLDM000970127349
BOV-WUR-30	HOLNLDM000970125792
BOV-WUR-31	HOLNLDM000970127231
BOV-WUR-32	HOLNLDM000259426239
BOV-WUR-33	HOLNLDM000277557780
BOV-WUR-34	HOLNLDM000257152046
BOV-WUR-35	HOLNLDM000266751799
BOV-WUR-36	HOLNLDM000285495652
BOV-WUR-37	HOLNLDM000288064943
BOV-WUR-38	HOLNLDM000277558156
BOV-WUR-39	HOLNLDM000277558219
BOV-WUR-40	HOLNLDM000262012452
BOV-WUR-41	HOLNLDM000279053026
BOV-WUR-42	HOLNLDM000284378198
BOV-WUR-43	HOLNLDM000288458665
BOV-WUR-44	HOLNLDM000288458487
BOV-WUR-45	HOLNLDM000288458557
BOV-WUR-46	HOLNLDM000288458285
BOV-WUR-47	HOLNLDM000276041275
BOV-WUR-48	HOLNLDM000277557968
BOV-WUR-49	HOLNLDM000262948157
BOV-WUR-50	HOLNLDM000262484031
BOV-WUR-51	HOLNLDM000272917554
BOV-WUR-52	HOLNLDM000292559965
BOV-WUR-53	HOLNLDM000291698661
BOV-WUR-54	HOLLUXM000698169159
BOV-WUR-55	HOLNLDM000279053374
BOV-WUR-56	HOLNLDM000970125608
BOV-WUR-57	HOLNLDM000319957882
BOV-WUR-58	HOLNLDM000311651443
BOV-WUR-59	HOLNLDM000776437936
BOV-WUR-60	HOLNLDM000785532529
BOV-WUR-61	HOLNLDM000777430664
BOV-WUR-62	HOLNLDM000857700678
BOV-WUR-63	HOLNLDM000790545532
BOV-WUR-64	HOLNLDM000462449292
BOV-WUR-65	HOLNLDM000320825242
BOV-WUR-66	HOLNLDM000776654528
BOV-WUR-67	HOLNLDM000970004484
BOV-WUR-68	HOLNLDM000240295769
BOV-WUR-69	HOLNLDM000970136244
BOV-WUR-70	HOLNLDM000366692428
BOV-WUR-71	HOLNLDM000970173683
BOV-WUR-72	HOLNLDM000298541634
BOV-WUR-73	HOLNLDM000390479437
BOV-WUR-74	HOLNLDM000277557665
BOV-WUR-75	HOLNLDM000970115539
