TABLE	cow_schema_main		
archive	seq_file_name	animal_id	md5sum_zipped
bov-wur-58	bov-wur-58_run0241_AGTCAA_L005_R1_001.fastq.gz	BOV-WUR-58	53258b1a7ca265bc04810d5fb73da5c4
bov-wur-58	bov-wur-58_run0241_AGTCAA_L005_R2_001.fastq.gz	BOV-WUR-58	404ad16f1cbc6607e55fed98f16c971f
bov-wur-58	bov-wur-58_run0247_AGTCAA_L001_R1_001.fastq.gz	BOV-WUR-58	6989f5a3aea8ff4f0ac4b4cb8c3d62dd
bov-wur-58	bov-wur-58_run0247_AGTCAA_L001_R2_001.fastq.gz	BOV-WUR-58	f3ceedc008087db21527c8e8ecde4577
bov-wur-58	bov-wur-58_run0247_AGTCAA_L002_R1_001.fastq.gz	BOV-WUR-58	ae9c4841b87ce39ac3825b51e22ab3a2
bov-wur-58	bov-wur-58_run0247_AGTCAA_L002_R2_001.fastq.gz	BOV-WUR-58	d5246b0eec64435eafea08dfd43cf177
bov-wur-58	bov-wur-58_run0247_AGTCAA_L003_R1_001.fastq.gz	BOV-WUR-58	b0c6a1bd1dafa75643cbdf9c40887891
bov-wur-58	bov-wur-58_run0247_AGTCAA_L003_R1_002.fastq.gz	BOV-WUR-58	eed32c1bccc0a20595725c306fa3dbdb
bov-wur-58	bov-wur-58_run0247_AGTCAA_L003_R2_001.fastq.gz	BOV-WUR-58	b39f584ab8f08b2921c8a56295352776
bov-wur-58	bov-wur-58_run0247_AGTCAA_L003_R2_002.fastq.gz	BOV-WUR-58	eee8c64f26c50e26de7c9db21afe1040
bov-wur-58	bov-wur-58_run0250_AGTCAA_L001_R1_001.fastq.gz	BOV-WUR-58	46b94fd75582c1a80fe58a0c38b06c31
bov-wur-58	bov-wur-58_run0250_AGTCAA_L001_R2_001.fastq.gz	BOV-WUR-58	a650f3b07fbcc42eb1c8e7c88a907838
bov-wur-58	bov-wur-58_run0250_AGTCAA_L002_R1_001.fastq.gz	BOV-WUR-58	d59f49b9a7d7061ae27dc2cbfa1190b3
bov-wur-58	bov-wur-58_run0250_AGTCAA_L002_R2_001.fastq.gz	BOV-WUR-58	f8ef6691936ef82324774d424eab6dbf
bov-wur-58	bov-wur-58_run0250_AGTCAA_L003_R1_001.fastq.gz	BOV-WUR-58	46cbce752ee4ec2703f80096aa932854
bov-wur-58	bov-wur-58_run0250_AGTCAA_L003_R2_001.fastq.gz	BOV-WUR-58	b278f69536a123ae3a47e670499d308e
bov-wur-58	bov-wur-58_run0250_AGTCAA_L004_R1_001.fastq.gz	BOV-WUR-58	7357199c2494513189f7e275887712a7
bov-wur-58	bov-wur-58_run0250_AGTCAA_L004_R2_001.fastq.gz	BOV-WUR-58	d4016423c5afa2979daa0dd213675e93
bov-wur-58	bov-wur-58_run0263_AGTCAA_L001_R1_001.fastq.gz	BOV-WUR-58	5424910460f5fe600859581d53011700
